Price,CurrentCost,Name,ProductId,cs1_fine_per_product,cs1_fine_per_productName,ProductNumber,cs1_type,Createdon,ModifiedOn,OverriddenCreatedOn
0.00,NULL,English mentor - orientation,D6762529-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,43,10,2017-07-12 09:33:29,2018-11-07 17:29:53,NULL
0.00,NULL,English mentor - orientation,D6762529-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,43,10,2017-07-12 09:33:29,2018-11-07 17:29:53,NULL
0.00,NULL,English mentor - orientation,D6762529-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,43,10,2017-07-12 09:33:29,2018-11-07 17:29:53,NULL
0.00,NULL,English mentor - orientation,D6762529-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,43,10,2017-07-12 09:33:29,2018-11-07 17:29:53,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - skills,1748B866-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,44,10,2017-07-12 09:35:19,2022-12-13 08:50:35,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
0.00,NULL,English mentor - professional,F6C3658A-E566-E711-A4E6-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,45,10,2017-07-12 09:36:12,2018-11-07 17:31:40,NULL
NULL,NULL,קורס חיצוני טירת הכרמל - אנגלית מדוברת,66353FBF-27A5-EC11-A8C8-00505697537D,D3197AE8-7B87-E011-942D-005056BD3748,פסיכומטרי,123,10,2022-03-16 12:51:59,2022-03-16 12:58:12,NULL
NULL,NULL,עברית מבחן מה"ט,50EF90B7-A702-E911-AD77-00505697537D,NULL,NULL,69,10,2018-12-18 09:31:38,2019-01-03 12:55:07,NULL
