"Contact_Name","Status","Class_Name","Amount","Paid","Course_Name","StudyAgreement","askTeacher","NumOfMiss","Deal_Name","Discount_Reason","Discount_Reason2","interest","hybrid"
E4B6480B-1A7F-EB11-A4F8-00505697537D,861650000,"484E4664-F186-EB11-A4F8-00505697537D",7290,0,"88E76919-F186-EB11-A4F8-00505697537D",False,"","","28B29670-EE87-EB11-A4F8-00505697537D","","","35a1b88f-a686-e011-942d-005056bd3748",
A88CAE2A-7890-EB11-80F0-00505697537D,,"4990CC30-3A4F-EB11-974B-00505697537D",7970,,"88FFCB58-61F9-E811-AD77-00505697537D",False,"","",AB8CAE2A-7890-EB11-80F0-00505697537D,"","",dda7219a-a686-e011-942d-005056bd3748,
"80DB6F43-C0D4-EA11-81AC-00505697537D",861650002,"6DC09499-5B09-EB11-B993-00505697537D",0,0,F2950A89-DAF0-EA11-B993-00505697537D,False,"","","22C4CF98-1D5E-EB11-B424-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"7567505B-7990-EB11-80F0-00505697537D",,"484E4664-F186-EB11-A4F8-00505697537D",7290,,"88E76919-F186-EB11-A4F8-00505697537D",False,"","","3AD87B81-7990-EB11-80F0-00505697537D","","","35a1b88f-a686-e011-942d-005056bd3748",
"41A3CC03-8463-EA11-AC48-00505697537D",861650002,"6DC09499-5B09-EB11-B993-00505697537D",0,0,F2950A89-DAF0-EA11-B993-00505697537D,False,"","","6B0F18F9-1C5E-EB11-B424-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"26F89EC2-4782-EB11-A4F8-00505697537D",861650002,"3A3A958A-2B24-EB11-B993-00505697537D",3987,3987,"542363A7-2A24-EB11-B993-00505697537D",False,"","","29F89EC2-4782-EB11-A4F8-00505697537D","","",acc0507c-550a-e311-aa40-005056bd5c9d,
"26F89EC2-4782-EB11-A4F8-00505697537D",861650002,"8DB3A01B-2C24-EB11-B993-00505697537D",2557,2557,B5AFC8A8-2B24-EB11-B993-00505697537D,False,"","","29F89EC2-4782-EB11-A4F8-00505697537D",אחר,"",acc0507c-550a-e311-aa40-005056bd5c9d,
FA4BF2DD-7990-EB11-80F0-00505697537D,,"45ECE5F5-CB45-EB11-974B-00505697537D",7970,,E9169E86-60F9-E811-AD77-00505697537D,False,"","",FF4BF2DD-7990-EB11-80F0-00505697537D,"","",dda7219a-a686-e011-942d-005056bd3748,
"061EC579-7B90-EB11-80F0-00505697537D",,"25AF4409-3D4F-EB11-974B-00505697537D",7970,,"1455983C-61F9-E811-AD77-00505697537D",False,"","","0A1EC579-7B90-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"88B05ADE-C856-E511-84F0-005056BD5C9D",861650002,"052E9A68-3C4F-EB11-974B-00505697537D",7970,7970,"889DB952-61F9-E811-AD77-00505697537D",False,"","",B4BA5F41-7F90-EB11-80F0-00505697537D,"","","",
